Percentage served,Time in ms
0,1.167
1,1.387
2,1.411
3,1.430
4,1.446
5,1.459
6,1.471
7,1.481
8,1.492
9,1.502
10,1.512
11,1.521
12,1.530
13,1.540
14,1.550
15,1.560
16,1.570
17,1.583
18,1.595
19,1.609
20,1.625
21,1.642
22,1.664
23,1.689
24,1.721
25,1.762
26,1.818
27,1.892
28,1.996
29,2.156
30,2.488
31,2.903
32,3.624
33,4.274
34,5.326
35,6.313
36,7.407
37,9.266
38,11.096
39,13.443
40,16.527
41,19.363
42,22.266
43,26.018
44,29.156
45,32.516
46,36.226
47,39.457
48,42.881
49,46.495
50,49.310
51,51.392
52,54.511
53,58.860
54,62.411
55,67.001
56,71.759
57,77.088
58,82.159
59,86.274
60,91.529
61,95.606
62,99.306
63,103.554
64,108.786
65,115.767
66,123.697
67,130.617
68,135.148
69,142.696
70,151.204
71,157.977
72,165.136
73,172.153
74,174.892
75,177.367
76,178.665
77,179.498
78,180.248
79,180.955
80,181.562
81,182.191
82,182.807
83,183.441
84,184.184
85,184.883
86,185.555
87,186.427
88,187.521
89,188.753
90,190.193
91,193.200
92,201.924
93,207.987
94,223.981
95,1021.478
96,1073.703
97,1420.448
98,3002.600
99,4125.125
100,20491.365
