720 13.6 0.3 0:50.09
720 0.0 0.3 0:50.11
720 0.0 0.3 0:50.11
720 0.0 0.3 0:50.11
720 0.0 0.3 0:50.11
720 0.0 0.3 0:50.11
720 0.0 0.3 0:50.11
720 0.0 0.3 0:50.11
720 9.1 0.3 0:50.17
720 14.3 0.3 0:50.34
720 20.0 0.3 0:50.53
720 20.0 0.3 0:50.70
720 8.3 0.3 0:50.85
KiB used, 422824 buff/cache
720 0.0 0.3 0:50.85
KiB used, 422804 buff/cache
