KiB used, 571340 buff/cache
2467 21.7 0.1 1:39.62
2467 23.8 0.1 1:39.98
2467 26.3 0.1 1:40.35
2467 31.0 0.1 1:40.77
2467 30.4 0.1 1:41.07
2467 18.2 0.1 1:41.46
2467 21.7 0.1 1:41.78
2467 30.0 0.1 1:42.20
2467 25.0 0.1 1:42.62
2467 29.2 0.1 1:43.02
2467 28.6 0.1 1:43.39
2467 0.0 0.1 1:43.72
2467 0.0 0.1 1:43.73
2467 0.0 0.1 1:43.73
2467 0.0 0.1 1:43.73
2467 0.0 0.1 1:43.73
2467 0.0 0.1 1:43.73
