KiB used, 370908 buff/cache
KiB used, 370960 buff/cache
KiB used, 370972 buff/cache
709 0.0 0.4 1:23.89
709 5.0 0.4 1:23.92
709 0.0 0.4 1:23.94
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.96
709 0.0 0.4 1:23.97
709 0.0 0.4 1:23.97
709 0.0 0.4 1:23.97
709 0.0 0.4 1:24.00
709 0.0 0.4 1:24.02
709 0.0 0.4 1:24.04
709 5.6 0.4 1:24.06
709 10.5 0.4 1:24.13
709 0.0 0.4 1:24.13
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.14
709 0.0 0.4 1:24.16
709 0.0 0.4 1:24.18
709 0.0 0.4 1:24.20
709 0.0 0.4 1:24.23
709 5.9 0.4 1:24.25
709 5.6 0.4 1:24.27
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.31
709 0.0 0.4 1:24.32
709 0.0 0.4 1:24.34
709 0.0 0.4 1:24.36
709 0.0 0.4 1:24.37
709 4.3 0.4 1:24.40
709 0.0 0.4 1:24.42
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.46
709 0.0 0.4 1:24.48
709 0.0 0.4 1:24.49
709 0.0 0.4 1:24.51
709 0.0 0.4 1:24.54
709 0.0 0.4 1:24.56
709 0.0 0.4 1:24.57
709 0.0 0.4 1:24.57
709 5.6 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.58
709 0.0 0.4 1:24.59
709 5.0 0.4 1:24.60
709 0.0 0.4 1:24.63
709 0.0 0.4 1:24.65
709 0.0 0.4 1:24.67
709 0.0 0.4 1:24.69
709 0.0 0.4 1:24.70
709 0.0 0.4 1:24.70
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.71
709 0.0 0.4 1:24.72
709 11.1 0.4 1:24.74
709 0.0 0.4 1:24.74
709 0.0 0.4 1:24.74
709 0.0 0.4 1:24.75
709 5.6 0.4 1:24.77
709 0.0 0.4 1:24.79
709 0.0 0.4 1:24.80
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
709 0.0 0.4 1:24.82
