KiB 1517736 avail Mem
736 5.6 0.4 2:15.22
736 4.5 0.4 2:15.30
736 10.0 0.4 2:15.37
736 10.5 0.4 2:15.45
736 16.7 0.4 2:15.54
736 10.5 0.4 2:15.62
736 11.1 0.4 2:15.69
736 5.0 0.4 2:15.76
736 11.8 0.4 2:15.84
736 0.0 0.4 2:15.91
736 5.3 0.4 2:15.98
736 16.7 0.4 2:16.07
736 10.5 0.4 2:16.16
736 10.5 0.4 2:16.24
736 9.5 0.4 2:16.32
736 4.5 0.4 2:16.38
736 5.3 0.4 2:16.43
736 11.1 0.4 2:16.50
736 11.1 0.4 2:16.57
736 23.5 0.4 2:16.65
736 5.6 0.4 2:16.71
736 11.1 0.4 2:16.80
736 5.3 0.4 2:16.88
736 11.1 0.4 2:16.95
736 11.8 0.4 2:17.03
736 5.6 0.4 2:17.11
736 11.1 0.4 2:17.19
736 5.6 0.4 2:17.26
736 5.6 0.4 2:17.32
736 10.5 0.4 2:17.42
736 11.1 0.4 2:17.48
736 5.0 0.4 2:17.56
KiB used, 413084 buff/cache
736 5.3 0.4 2:17.68
736 5.6 0.4 2:17.78
736 11.1 0.4 2:17.86
736 5.3 0.4 2:17.94
736 5.6 0.4 2:18.00
736 10.5 0.4 2:18.08
736 5.6 0.4 2:18.14
736 8.7 0.4 2:18.23
736 11.1 0.4 2:18.29
736 16.7 0.4 2:18.38
736 11.8 0.4 2:18.47
736 0.0 0.4 2:18.54
736 5.6 0.4 2:18.61
736 11.1 0.4 2:18.70
736 8.7 0.4 2:18.77
736 11.1 0.4 2:18.85
736 11.1 0.4 2:18.96
736 16.7 0.4 2:19.04
736 5.9 0.4 2:19.11
736 11.8 0.4 2:19.19
736 5.6 0.4 2:19.26
736 11.8 0.4 2:19.34
736 11.1 0.4 2:19.42
736 5.6 0.4 2:19.49
KiB used, 414236 buff/cache
736 11.1 0.4 2:19.64
736 10.5 0.4 2:19.72
736 5.3 0.4 2:19.81
736 10.5 0.4 2:19.89
736 5.6 0.4 2:19.95
736 5.6 0.4 2:20.02
736 5.6 0.4 2:20.09
736 8.7 0.4 2:20.17
736 11.1 0.4 2:20.26
736 11.1 0.4 2:20.33
736 3.6 0.4 2:20.42
736 11.1 0.4 2:20.48
736 5.3 0.4 2:20.55
736 5.6 0.4 2:20.62
736 17.6 0.4 2:20.71
736 5.6 0.4 2:20.78
736 0.0 0.4 2:20.86
736 5.6 0.4 2:20.92
736 5.6 0.4 2:20.95
