KiB used, 444736 buff/cache
736 0.0 0.4 3:04.84
736 0.0 0.4 3:04.87
736 0.0 0.4 3:04.90
736 5.6 0.4 3:04.94
736 5.6 0.4 3:04.97
736 5.6 0.4 3:05.00
736 5.6 0.4 3:05.04
736 5.3 0.4 3:05.07
736 0.0 0.4 3:05.10
736 0.0 0.4 3:05.13
736 0.0 0.4 3:05.17
736 0.0 0.4 3:05.20
736 0.0 0.4 3:05.23
736 0.0 0.4 3:05.27
736 5.0 0.4 3:05.31
736 5.3 0.4 3:05.35
736 0.0 0.4 3:05.38
736 0.0 0.4 3:05.42
736 0.0 0.4 3:05.45
736 5.6 0.4 3:05.50
736 5.6 0.4 3:05.54
736 0.0 0.4 3:05.57
736 5.3 0.4 3:05.61
736 5.6 0.4 3:05.64
736 5.6 0.4 3:05.67
736 0.0 0.4 3:05.70
736 5.6 0.4 3:05.74
736 0.0 0.4 3:05.78
736 0.0 0.4 3:05.80
736 0.0 0.4 3:05.83
736 4.8 0.4 3:05.87
736 0.0 0.4 3:05.90
736 5.6 0.4 3:05.94
736 11.1 0.4 3:05.99
736 5.6 0.4 3:06.01
736 5.6 0.4 3:06.04
736 4.3 0.4 3:06.08
736 5.6 0.4 3:06.11
736 0.0 0.4 3:06.15
736 0.0 0.4 3:06.18
736 0.0 0.4 3:06.22
736 0.0 0.4 3:06.25
736 0.0 0.4 3:06.29
736 0.0 0.4 3:06.33
736 5.6 0.4 3:06.37
736 5.3 0.4 3:06.40
736 5.6 0.4 3:06.43
736 5.6 0.4 3:06.47
736 0.0 0.4 3:06.50
736 0.0 0.4 3:06.53
736 0.0 0.4 3:06.57
736 0.0 0.4 3:06.60
736 4.8 0.4 3:06.64
736 0.0 0.4 3:06.67
736 0.0 0.4 3:06.70
736 5.0 0.4 3:06.75
736 5.6 0.4 3:06.78
736 0.0 0.4 3:06.81
736 5.6 0.4 3:06.85
736 4.3 0.4 3:06.89
736 5.6 0.4 3:06.92
736 5.6 0.4 3:06.96
736 5.6 0.4 3:06.99
736 11.1 0.4 3:07.03
736 5.6 0.4 3:07.06
736 0.0 0.4 3:07.09
736 0.0 0.4 3:07.12
KiB used, 446304 buff/cache
736 5.6 0.4 3:07.20
736 0.0 0.4 3:07.23
736 0.0 0.4 3:07.26
736 4.5 0.4 3:07.31
736 5.6 0.4 3:07.34
736 0.0 0.4 3:07.37
736 4.8 0.4 3:07.41
736 0.0 0.4 3:07.44
736 5.0 0.4 3:07.48
736 0.0 0.4 3:07.52
736 0.0 0.4 3:07.52
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
736 0.0 0.4 3:07.53
