[[ 1006.66143417  1714.92039299]
 [ 2366.13718319  2742.48902607]
 [ 3250.23011613  3488.06430411]
 [ 3941.04358602  4116.47438812]
 [ 4535.77517009  4685.3837502 ]
 [ 5082.95389605  5207.59292912]
 [ 5592.94358706  5702.40713215]
 [ 6085.13101816  6194.62154818]
 [ 6577.13093519  6686.29732609]
 [ 7068.01308417  7177.26894403]]
