Percentage served,Time in ms
0,6.515
1,7.690
2,7.872
3,7.973
4,8.043
5,8.095
6,8.137
7,8.174
8,8.209
9,8.240
10,8.270
11,8.297
12,8.324
13,8.350
14,8.375
15,8.399
16,8.422
17,8.447
18,8.472
19,8.498
20,8.524
21,8.552
22,8.581
23,8.613
24,8.647
25,8.686
26,8.728
27,8.777
28,8.833
29,8.899
30,8.982
31,9.073
32,9.191
33,9.321
34,9.461
35,9.631
36,9.806
37,9.994
38,10.192
39,10.405
40,10.659
41,10.929
42,11.212
43,11.554
44,11.966
45,12.466
46,13.120
47,13.882
48,14.757
49,16.003
50,17.831
51,21.160
52,25.916
53,33.317
54,51.998
55,192.647
56,403.182
57,553.615
58,693.973
59,822.982
60,920.067
61,1035.494
62,1113.271
63,1193.792
64,1240.609
65,1259.538
66,1275.204
67,1294.336
68,1315.982
69,1341.758
70,1367.606
71,1391.399
72,1416.234
73,1441.270
74,1480.546
75,1522.189
76,1564.898
77,1620.444
78,1701.785
79,1781.207
80,1896.705
81,2025.312
82,2153.336
83,2307.598
84,2467.673
85,2639.231
86,2842.273
87,3078.205
88,3336.887
89,3625.278
90,3954.603
91,4370.313
92,4842.207
93,5454.382
94,6183.683
95,7071.879
96,8122.460
97,9691.259
98,12380.972
99,20348.448
100,84799.059
