KiB 1530716 avail Mem
716 5.0 0.4 0:42.19
716 0.0 0.4 0:42.21
716 0.0 0.4 0:42.24
716 0.0 0.4 0:42.27
716 0.0 0.4 0:42.30
716 0.0 0.4 0:42.33
716 5.6 0.4 0:42.37
716 0.0 0.4 0:42.40
716 0.0 0.4 0:42.43
716 5.3 0.4 0:42.47
716 0.0 0.4 0:42.50
716 5.6 0.4 0:42.54
716 5.3 0.4 0:42.57
716 5.3 0.4 0:42.60
716 5.6 0.4 0:42.63
716 5.3 0.4 0:42.66
716 0.0 0.4 0:42.69
716 5.6 0.4 0:42.72
716 0.0 0.4 0:42.74
716 0.0 0.4 0:42.77
716 0.0 0.4 0:42.80
716 5.6 0.4 0:42.84
716 0.0 0.4 0:42.87
716 0.0 0.4 0:42.90
716 5.3 0.4 0:42.93
716 5.3 0.4 0:42.96
716 0.0 0.4 0:42.99
716 5.6 0.4 0:43.03
716 0.0 0.4 0:43.06
716 0.0 0.4 0:43.09
716 0.0 0.4 0:43.12
716 0.0 0.4 0:43.15
716 5.6 0.4 0:43.20
716 0.0 0.4 0:43.22
716 0.0 0.4 0:43.25
716 5.6 0.4 0:43.29
717 5.6 0.4 0:46.05
716 5.6 0.4 0:43.36
716 0.0 0.4 0:43.39
716 5.0 0.4 0:43.42
716 5.6 0.4 0:43.45
716 0.0 0.4 0:43.48
716 0.0 0.4 0:43.51
716 0.0 0.4 0:43.54
716 5.3 0.4 0:43.58
716 0.0 0.4 0:43.61
716 5.3 0.4 0:43.65
716 0.0 0.4 0:43.69
716 0.0 0.4 0:43.72
716 0.0 0.4 0:43.75
716 0.0 0.4 0:43.78
716 0.0 0.4 0:43.82
716 5.0 0.4 0:43.85
716 0.0 0.4 0:43.88
716 0.0 0.4 0:43.92
716 0.0 0.4 0:43.95
716 0.0 0.4 0:43.98
716 5.6 0.4 0:44.01
716 5.3 0.4 0:44.05
716 0.0 0.4 0:44.07
716 0.0 0.4 0:44.11
716 5.3 0.4 0:44.14
716 0.0 0.4 0:44.16
716 0.0 0.4 0:44.19
716 5.3 0.4 0:44.23
716 0.0 0.4 0:44.27
716 0.0 0.4 0:44.30
716 0.0 0.4 0:44.33
716 5.6 0.4 0:44.37
716 0.0 0.4 0:44.40
716 0.0 0.4 0:44.44
716 0.0 0.4 0:44.47
716 0.0 0.4 0:44.49
716 5.3 0.4 0:44.53
716 5.3 0.4 0:44.56
716 5.3 0.4 0:44.59
716 0.0 0.4 0:44.62
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
716 0.0 0.4 0:44.65
