KiB used, 466740 buff/cache
740 10.0 0.3 2:08.99
740 11.1 0.3 2:09.14
740 14.3 0.3 2:09.29
740 10.5 0.3 2:09.42
740 11.1 0.3 2:09.55
740 15.8 0.3 2:09.69
740 10.5 0.3 2:09.82
740 11.1 0.3 2:09.96
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
740 0.0 0.3 2:10.00
