[[ 1221.12530923  2196.42558002]
 [ 2933.83924818  3484.83486104]
 [ 4064.61266422  4446.79042912]
 [ 4931.80872703  5226.02449203]
 [ 5666.33411002  5934.22220302]
 [ 6335.13122702  6549.83135104]
 [ 6932.62709403  7120.55181909]
 [ 7477.24413419  7649.413836  ]
 [ 7996.46240306  8149.93392205]
 [ 8483.2311902   8627.33059001]]
