Percentage served,Time in ms
0,1.020
1,2.031
2,2.509
3,2.971
4,3.440
5,3.965
6,4.518
7,5.131
8,5.757
9,6.364
10,6.952
11,7.494
12,8.005
13,8.572
14,9.158
15,9.706
16,10.251
17,10.832
18,11.419
19,12.104
20,12.804
21,13.481
22,14.137
23,14.793
24,15.551
25,16.353
26,17.189
27,18.035
28,18.956
29,19.923
30,20.851
31,21.702
32,22.439
33,23.161
34,23.837
35,24.534
36,25.272
37,25.999
38,26.784
39,27.530
40,28.313
41,29.066
42,29.819
43,30.540
44,31.317
45,32.202
46,33.226
47,34.233
48,35.248
49,36.191
50,37.146
51,38.114
52,39.132
53,40.193
54,41.191
55,42.250
56,43.332
57,44.460
58,45.600
59,46.745
60,47.820
61,48.829
62,49.756
63,50.586
64,51.379
65,52.129
66,52.898
67,53.655
68,54.449
69,55.226
70,55.939
71,56.707
72,57.520
73,58.411
74,59.295
75,60.185
76,61.061
77,61.965
78,62.917
79,64.060
80,65.344
81,66.724
82,68.194
83,69.920
84,71.899
85,73.990
86,75.957
87,77.599
88,79.857
89,82.612
90,85.825
91,89.068
92,93.448
93,100.052
94,110.718
95,167.578
96,272.658
97,1008.906
98,1051.197
99,1092.890
100,3458.685
