Percentage served,Time in ms
0,8.661
1,19.123
2,20.005
3,20.350
4,20.522
5,20.632
6,20.712
7,20.780
8,20.839
9,20.890
10,20.937
11,20.982
12,21.024
13,21.064
14,21.103
15,21.141
16,21.177
17,21.212
18,21.247
19,21.281
20,21.316
21,21.350
22,21.384
23,21.415
24,21.448
25,21.483
26,21.517
27,21.551
28,21.585
29,21.619
30,21.652
31,21.685
32,21.721
33,21.756
34,21.794
35,21.828
36,21.865
37,21.904
38,21.941
39,21.981
40,22.023
41,22.064
42,22.107
43,22.151
44,22.196
45,22.246
46,22.295
47,22.347
48,22.401
49,22.454
50,22.508
51,22.564
52,22.624
53,22.684
54,22.748
55,22.810
56,22.874
57,22.940
58,23.009
59,23.083
60,23.167
61,23.256
62,23.353
63,23.462
64,23.591
65,23.727
66,23.873
67,24.023
68,24.188
69,24.365
70,24.560
71,24.765
72,25.010
73,25.264
74,25.532
75,25.790
76,26.100
77,26.469
78,26.921
79,27.517
80,28.143
81,28.857
82,29.550
83,30.293
84,31.008
85,31.716
86,32.440
87,33.133
88,33.913
89,34.818
90,36.203
91,38.372
92,40.769
93,44.935
94,73.924
95,233.198
96,237.567
97,244.077
98,463.758
99,1035.926
100,3067.856
