Percentage served,Time in ms
0,3.555
1,4.572
2,4.783
3,4.938
4,5.058
5,5.152
6,5.237
7,5.320
8,5.400
9,5.474
10,5.546
11,5.614
12,5.685
13,5.751
14,5.815
15,5.878
16,5.945
17,6.009
18,6.074
19,6.140
20,6.204
21,6.269
22,6.335
23,6.401
24,6.474
25,6.546
26,6.621
27,6.700
28,6.784
29,6.872
30,6.974
31,7.078
32,7.191
33,7.313
34,7.453
35,7.617
36,7.804
37,8.037
38,8.288
39,8.601
40,8.957
41,9.419
42,10.000
43,10.830
44,12.127
45,15.429
46,226.857
47,543.857
48,588.453
49,622.869
50,632.082
51,639.685
52,649.370
53,656.911
54,662.400
55,669.065
56,688.479
57,720.347
58,790.491
59,824.996
60,848.816
61,908.576
62,947.521
63,993.413
64,1042.151
65,1085.638
66,1159.412
67,1224.480
68,1302.476
69,1380.163
70,1455.930
71,1531.579
72,1616.403
73,1656.898
74,1685.898
75,1743.612
76,1829.478
77,1909.066
78,1993.595
79,2088.515
80,2203.768
81,2328.050
82,2445.982
83,2588.770
84,2748.070
85,2930.888
86,3126.185
87,3343.028
88,3583.730
89,3803.357
90,4085.321
91,4398.243
92,4774.279
93,5206.468
94,5773.102
95,6491.515
96,7535.996
97,9124.819
98,12011.622
99,19604.900
100,180990.886
