[[  467.63428998   623.51240897]
 [ 1003.40823698  1108.84988499]
 [ 1436.71164584  1489.16097999]
 [ 1807.25844598  1851.61835194]
 [ 2165.65885282  2205.50679398]
 [ 2515.51021385  2552.59077096]
 [ 2863.30837703  2899.0403409 ]
 [ 3207.83000302  3241.89878988]
 [ 3548.77616596  3575.52023387]
 [ 3883.42955494  3917.51299787]]
