KiB used, 537060 buff/cache
706 5.3 0.4 0:32.97
706 0.0 0.4 0:33.01
706 5.6 0.4 0:33.06
706 5.6 0.4 0:33.10
706 5.3 0.4 0:33.15
706 5.0 0.4 0:33.20
706 11.1 0.4 0:33.25
706 5.0 0.4 0:33.30
706 0.0 0.4 0:33.34
706 0.0 0.4 0:33.39
706 5.6 0.4 0:33.44
706 5.3 0.4 0:33.48
706 10.5 0.4 0:33.54
706 5.6 0.4 0:33.57
706 5.0 0.4 0:33.61
706 5.6 0.4 0:33.66
706 5.3 0.4 0:33.70
706 5.3 0.4 0:33.74
706 0.0 0.4 0:33.79
706 0.0 0.4 0:33.84
706 4.5 0.4 0:33.89
706 5.6 0.4 0:33.94
706 5.3 0.4 0:33.98
706 5.3 0.4 0:34.02
706 5.6 0.4 0:34.07
706 5.6 0.4 0:34.12
706 0.0 0.4 0:34.15
706 5.3 0.4 0:34.19
706 5.3 0.4 0:34.24
706 5.6 0.4 0:34.28
706 0.0 0.4 0:34.32
706 5.0 0.4 0:34.37
706 5.6 0.4 0:34.42
706 5.6 0.4 0:34.47
706 5.6 0.4 0:34.52
706 5.3 0.4 0:34.56
706 0.0 0.4 0:34.60
706 5.6 0.4 0:34.65
706 5.6 0.4 0:34.70
706 5.6 0.4 0:34.75
706 9.5 0.4 0:34.80
706 5.6 0.4 0:34.85
706 5.6 0.4 0:34.90
706 4.8 0.4 0:34.95
706 0.0 0.4 0:34.99
706 5.3 0.4 0:35.04
706 0.0 0.4 0:35.07
706 5.3 0.4 0:35.12
706 5.0 0.4 0:35.16
706 5.6 0.4 0:35.20
706 5.3 0.4 0:35.25
706 4.5 0.4 0:35.29
706 5.9 0.4 0:35.34
706 5.3 0.4 0:35.37
706 5.6 0.4 0:35.42
706 5.6 0.4 0:35.47
706 5.0 0.4 0:35.52
706 5.3 0.4 0:35.56
706 5.6 0.4 0:35.60
706 5.6 0.4 0:35.65
706 5.3 0.4 0:35.70
706 5.6 0.4 0:35.74
706 4.8 0.4 0:35.79
706 5.3 0.4 0:35.84
706 5.3 0.4 0:35.88
706 5.6 0.4 0:35.92
706 5.6 0.4 0:35.97
706 5.6 0.4 0:36.01
706 4.8 0.4 0:36.05
706 5.6 0.4 0:36.09
706 0.0 0.4 0:36.14
706 4.8 0.4 0:36.21
706 5.3 0.4 0:36.25
706 5.3 0.4 0:36.30
706 0.0 0.4 0:36.34
706 5.6 0.4 0:36.39
706 0.0 0.4 0:36.43
706 0.0 0.4 0:36.45
706 0.0 0.4 0:36.45
706 0.0 0.4 0:36.45
