KiB 1527332 avail Mem
733 0.0 0.4 3:08.68
733 0.0 0.4 3:08.70
733 0.0 0.4 3:08.72
733 0.0 0.4 3:08.74
733 0.0 0.4 3:08.76
733 0.0 0.4 3:08.78
733 0.0 0.4 3:08.80
733 5.3 0.4 3:08.83
733 0.0 0.4 3:08.85
733 0.0 0.4 3:08.88
733 0.0 0.4 3:08.90
733 0.0 0.4 3:08.92
733 0.0 0.4 3:08.95
733 5.6 0.4 3:08.98
733 0.0 0.4 3:09.00
733 11.1 0.4 3:09.04
733 0.0 0.4 3:09.04
733 0.0 0.4 3:09.06
733 5.6 0.4 3:09.09
733 0.0 0.4 3:09.12
733 0.0 0.4 3:09.14
733 5.6 0.4 3:09.17
733 0.0 0.4 3:09.19
733 5.6 0.4 3:09.22
733 5.3 0.4 3:09.24
733 5.3 0.4 3:09.26
733 0.0 0.4 3:09.28
733 0.0 0.4 3:09.30
733 0.0 0.4 3:09.32
733 0.0 0.4 3:09.34
733 0.0 0.4 3:09.36
733 5.6 0.4 3:09.39
733 5.6 0.4 3:09.41
733 5.6 0.4 3:09.44
733 5.3 0.4 3:09.46
733 0.0 0.4 3:09.49
733 0.0 0.4 3:09.51
733 0.0 0.4 3:09.53
733 0.0 0.4 3:09.55
733 0.0 0.4 3:09.57
733 5.3 0.4 3:09.60
733 5.0 0.4 3:09.63
733 0.0 0.4 3:09.64
733 5.3 0.4 3:09.67
733 5.3 0.4 3:09.69
733 0.0 0.4 3:09.71
733 0.0 0.4 3:09.73
733 0.0 0.4 3:09.75
733 5.3 0.4 3:09.77
733 0.0 0.4 3:09.79
733 5.6 0.4 3:09.82
733 0.0 0.4 3:09.84
733 0.0 0.4 3:09.86
733 0.0 0.4 3:09.88
733 5.0 0.4 3:09.91
733 5.3 0.4 3:09.93
733 5.6 0.4 3:09.95
733 5.3 0.4 3:09.97
733 0.0 0.4 3:09.99
733 0.0 0.4 3:10.01
733 5.6 0.4 3:10.04
733 0.0 0.4 3:10.06
733 0.0 0.4 3:10.08
733 5.6 0.4 3:10.11
733 0.0 0.4 3:10.13
733 5.3 0.4 3:10.15
733 0.0 0.4 3:10.16
733 0.0 0.4 3:10.18
733 0.0 0.4 3:10.20
733 0.0 0.4 3:10.23
733 0.0 0.4 3:10.25
733 0.0 0.4 3:10.27
733 0.0 0.4 3:10.29
733 0.0 0.4 3:10.31
733 5.3 0.4 3:10.34
733 0.0 0.4 3:10.36
733 5.3 0.4 3:10.39
733 0.0 0.4 3:10.41
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
733 0.0 0.4 3:10.42
