KiB used, 261716 buff/cache
716 5.3 0.4 0:07.61
716 0.0 0.4 0:07.63
716 0.0 0.4 0:07.65
716 0.0 0.4 0:07.68
716 0.0 0.4 0:07.70
716 5.3 0.4 0:07.73
716 0.0 0.4 0:07.75
716 5.3 0.4 0:07.78
716 0.0 0.4 0:07.80
716 0.0 0.4 0:07.82
716 0.0 0.4 0:07.84
716 0.0 0.4 0:07.87
716 0.0 0.4 0:07.89
716 0.0 0.4 0:07.91
716 0.0 0.4 0:07.94
716 5.3 0.4 0:07.97
716 0.0 0.4 0:08.00
716 5.3 0.4 0:08.03
17162 15.8 0.2 0:00.03
716 0.0 0.4 0:08.07
716 0.0 0.4 0:08.09
716 5.3 0.4 0:08.12
716 0.0 0.4 0:08.14
17370 5.3 0.1 0:00.01
716 0.0 0.4 0:08.19
716 0.0 0.4 0:08.21
716 0.0 0.4 0:08.24
716 5.6 0.4 0:08.27
716 5.6 0.4 0:08.29
716 0.0 0.4 0:08.31
716 5.3 0.4 0:08.34
716 0.0 0.4 0:08.36
716 0.0 0.4 0:08.38
716 0.0 0.4 0:08.41
716 5.6 0.4 0:08.44
716 0.0 0.4 0:08.46
716 0.0 0.4 0:08.48
716 5.3 0.4 0:08.51
716 5.3 0.4 0:08.54
716 5.6 0.4 0:08.56
716 5.3 0.4 0:08.58
716 5.6 0.4 0:08.60
716 0.0 0.4 0:08.62
716 0.0 0.4 0:08.65
716 0.0 0.4 0:08.67
716 5.6 0.4 0:08.70
716 0.0 0.4 0:08.72
716 5.3 0.4 0:08.75
716 0.0 0.4 0:08.77
716 0.0 0.4 0:08.80
716 0.0 0.4 0:08.82
716 0.0 0.4 0:08.85
716 0.0 0.4 0:08.87
716 5.6 0.4 0:08.90
716 0.0 0.4 0:08.92
716 0.0 0.4 0:08.94
716 5.3 0.4 0:08.97
716 5.3 0.4 0:08.99
716 5.6 0.4 0:09.02
716 5.6 0.4 0:09.05
716 0.0 0.4 0:09.07
716 5.3 0.4 0:09.10
716 5.3 0.4 0:09.12
716 0.0 0.4 0:09.14
716 0.0 0.4 0:09.16
716 5.6 0.4 0:09.19
716 5.0 0.4 0:09.22
716 5.6 0.4 0:09.24
716 0.0 0.4 0:09.25
716 0.0 0.4 0:09.28
716 5.0 0.4 0:09.31
716 5.6 0.4 0:09.33
716 0.0 0.4 0:09.35
716 5.3 0.4 0:09.38
716 0.0 0.4 0:09.40
716 0.0 0.4 0:09.42
716 5.0 0.4 0:09.45
716 0.0 0.4 0:09.47
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
716 0.0 0.4 0:09.50
